run,tasks,avg_waiting,avg_processing,avg_size,drop_ratio,cpu_usage,cpu_cnt
0,10,54.84499221377902,21.22354571024577,59.44444444444444,0.1,0.0,12
1,33,56.53165342164176,17.51416718221118,50.05306267806267,0.2727272727272727,15.583333333333336,12
2,65,57.273961715689204,15.83125582250857,46.67732141619442,0.3230769230769231,30.833333333333336,12
